keyword,url_count,url_percent
ing,1629,52.21153846153847
wallet,181,5.801282051282051
bank,167,5.352564102564102
login,139,4.455128205128205
account,103,3.3012820512820515
credit,97,3.108974358974359
card,76,2.435897435897436
banco,71,2.2756410256410255
bradesco,69,2.2115384615384617
client,52,1.6666666666666667
auth,39,1.25
portal,33,1.0576923076923077
billing,27,0.8653846153846154
support,25,0.8012820512820512
secure,25,0.8012820512820512
chase,24,0.7692307692307693
banking,23,0.7371794871794871
signin,21,0.6730769230769231
coinbase,21,0.6730769230769231
citi,18,0.576923076923077
verify,18,0.576923076923077
visa,16,0.5128205128205128
payment,16,0.5128205128205128
update,15,0.4807692307692308
binance,14,0.4487179487179487
finance,13,0.4166666666666667
santander,13,0.4166666666666667
paypal,10,0.3205128205128205
bbva,8,0.2564102564102564
security,7,0.22435897435897434
verification,7,0.22435897435897434
confirm,6,0.19230769230769232
financial,6,0.19230769230769232
customer,4,0.1282051282051282
recover,4,0.1282051282051282
hsbc,4,0.1282051282051282
debit,4,0.1282051282051282
amex,4,0.1282051282051282
jpmorgan,2,0.0641025641025641
scotiabank,1,0.03205128205128205
unicredit,1,0.03205128205128205
validate,1,0.03205128205128205
cashapp,1,0.03205128205128205
barclays,1,0.03205128205128205
abn,1,0.03205128205128205
capitalone,1,0.03205128205128205
password,1,0.03205128205128205
wellsfargo,1,0.03205128205128205
citibank,0,0.0
absa,0,0.0
authenticate,0,0.0
natwest,0,0.0
mastercard,0,0.0
logon,0,0.0
credential,0,0.0
